,Hotel Name,Type,Price,Review Rating,Review text,Date of Review,Review count
0,Apex London Wall Hotel,Bunk Pod for 2,"? 7,887",5,Ottima qualità prezzo,10/20/2012,778
1,Corinthia Hotel London,Premium Double Room,"? 15,267",5,"By far, my best hotel in the world",3/23/2016,500
2,The Savoy,Double Room,"? 13,063",5,First visit to the American Bar at the Savoy,7/30/2013,1605
3,Rhodes Hotel,nhow Double or Twin Room with View,"? 12,854",4,Nice stay,06-02-2012,500
4,The Savoy,Double Room,"? 9,471",5,Perfection,11/24/2017,500
5,Corinthia Hotel London,The Innside Guestroom,"? 14,123",1,Staff stole from me!!,03-01-2013,1264
6,Apex London Wall Hotel,Small Double Room,"? 20,060",5,Great customer service and comfy bed,10/22/2017,500
7,Mondrian London at Sea Containers,King Room,"? 14,206",5,"Yes, it's really good!",12/16/2014,500
8,Mondrian London at Sea Containers,Standard Double Room,"? 12,655",5,Incredible,03-05-2016,2069
9,Rhodes Hotel,Observatory King,"? 45,038",5,Ottima scelta!,02-07-2011,
10,The Savoy,Twin Room,"? 31,228",5,Best in Town,5/18/2017,500
11,"Mandarin Oriental Hyde Park, London",Superior Double or Twin Room,"? 29,391",4,"Good hotel, but needs touch-up and improved layout of entrance floor",2/17/2014,500
12,The Savoy,Small Double Room,"? 17,798",2,what a disappointment,06-05-2016,500
13,The Dorchester,Queen Room - Disability Access,"? 11,336",4,Great hotel needs to up its game to compete today,01-04-2017,500
14,Corinthia Hotel London,Standard Double or Twin Room,"? 18,778",5,a true five star hotel,10-06-2016,2974
15,Apex London Wall Hotel,Double or Twin Room,"? 15,357",5,Surprisingly quiet in Central London,11/13/2014,500
16,Mondrian London at Sea Containers,Comfort Double or Twin Room,"? 21,917",5,Amazing proposal venue!,01-08-2015,1278
17,"Mandarin Oriental Hyde Park, London",1 Queen or King Bed Essential Room,"? 34,617",5,Beautiful,8/31/2014,500
18,Mondrian London at Sea Containers,Standard Double Room - No Window,"? 8,083",5,Beautiful hotel in a great location,12-10-2015,500
19,Mondrian London at Sea Containers,Small Double Room,"? 12,992",5,Very stylish accommodation,6/13/2016,1935
20,The Dorchester,Double Room,"? 6,794",2,The brand is bigger than the experience,10-03-2013,518
21,Mondrian London at Sea Containers,Standard Twin Bunk with Shared Bathroom,"? 12,246",3,Nice rooms but not quite wow,5/31/2016,2064
22,Rhodes Hotel,Classic Double Room,"? 21,195",4,Great Hosts,5/17/2007,1629
23,A To Z Hotel,Double Room,"? 17,308",5,Excellent rapport qualité prix,01-05-2016,500
24,Mondrian London at Sea Containers,Twin Room,"? 9,229",5,"Fantastic nights stay, one of the best hotels I've ever been to!",6/20/2015,1783
25,Corinthia Hotel London,Holiday Home,"? 20,982",5,Corinthia Hotel London - WOW,11/28/2011,1
26,Apex London Wall Hotel,Holiday Home,"? 26,534",4,Excellent service,1/31/2017,1
27,Ridgemount Hotel,Holiday Home,"? 20,982",5,Excellent,10/30/2011,2
28,Rhodes Hotel,Holiday Home,"? 20,982",5,It's All True!,10-05-2006,1
29,The Savoy,Holiday Home,"? 20,982",5,Exceeded All My Expectations,10/14/2013,1
30,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Holiday Home,"? 28,330",3,"Great location, fine hotel, odd service",11-08-2016,1
31,"Mandarin Oriental Hyde Park, London",Holiday Home,"? 28,330",5,exceptional service. great location. brilliant food.,5/17/2015,1
32,The Dorchester,Holiday Home,"? 28,330",5,Outstanding,11/15/2014,4
33,Apex London Wall Hotel,Two-Bedroom House,"? 11,838",5,Apex London Wall repeat visit,12-08-2015,1155
34,Mondrian London at Sea Containers,Holiday Home,"? 20,982",5,Just as good second time around!,10/15/2015,18
35,Corinthia Hotel London,Holiday Home,"? 20,982",5,Felt like a princess,10/20/2013,5
36,The Savoy,Holiday Home,"? 20,982",3,Safety concerns.....,10/22/2015,18
37,The Rembrandt,Holiday Home,"? 20,982",5,Good Hotel - Great Area,11-04-2016,40
38,Apex London Wall Hotel,Holiday Home,"? 20,982",5,Freundliches & zukommendes Personal sowie sehr gute Lage,9/15/2012,18
39,The Savoy,Holiday Home,"? 20,982",5,The gift of a lifetime and a memory to last for ever,5/14/2013,1
40,Apex London Wall Hotel,Holiday Home,"? 20,982",4,Very good hotel in the City,12/19/2016,18
41,London Guest House,Holiday Home,"? 20,982",5,Good stay,08-09-2018,1
42,"Mandarin Oriental Hyde Park, London",Holiday Home,"? 20,982",5,Amazing 5 star hotel!,11/19/2015,1
43,Mondrian London at Sea Containers,Holiday Home,"? 20,982",4,"Excellent location, great staff",2/16/2016,18
